Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
ResNet18 (ADC),69,0.7238,73.00%,0.7694,71.39%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),70,0.7187,73.32%,0.7999,71.16%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),71,0.7163,73.36%,0.7595,72.15%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),72,0.7133,73.37%,0.7722,72.45%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),73,0.7264,72.77%,0.8022,71.44%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),74,0.7295,72.56%,0.7706,71.98%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),75,0.7282,72.63%,0.8020,71.17%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),76,0.7335,72.54%,0.7902,71.53%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),77,0.7249,72.52%,0.7760,72.07%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),78,0.7230,72.76%,0.7704,72.42%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),79,0.7173,72.96%,0.7852,71.07%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),80,0.7241,72.87%,0.7808,71.90%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),81,0.7198,73.14%,0.7699,72.25%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),82,0.7204,72.91%,0.7681,72.43%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),83,0.7186,73.16%,0.7663,72.25%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),84,0.7176,72.92%,0.7780,72.21%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),85,0.7186,73.09%,0.7783,72.89%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),86,0.7151,73.27%,0.7707,72.54%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),87,0.7177,72.98%,0.7584,72.69%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),88,0.7168,73.02%,0.7694,72.22%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),89,0.7133,73.03%,0.7712,71.97%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),90,0.7102,73.14%,0.7617,72.37%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),91,0.7175,72.93%,0.7659,72.50%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),92,0.7157,73.02%,0.7724,72.05%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),93,0.7244,72.72%,0.7704,71.59%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),94,0.7219,72.78%,0.7693,72.10%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),95,0.7229,72.65%,0.7721,72.00%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),96,0.7222,72.86%,0.7679,72.12%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),97,0.7183,72.80%,0.7662,72.51%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),98,0.7230,72.76%,0.7623,72.21%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),99,0.7241,72.67%,0.7724,72.30%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),100,0.7229,72.51%,0.7702,71.75%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),101,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),102,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),103,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),104,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),105,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),106,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),107,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),108,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),109,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),110,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),111,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),112,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),113,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
